,artist,name,pop,genres,followers
0,7ry8L53T4oJtSIogGYuioq,NTO,57,"electronica,minimal melodic techno,minimal techno,new french touch,tropical house",199531
1,2Ceq5nkABzryK0OkaQYtzg,Trashlagoon,31,,4571
2,238y1dKPtMeFEpX3Y6H1Vr,Parra for Cuva,57,"downtempo,electronica,new french touch,tropical house",146811
3,40JyDxGqtYSowWYT2jaive,Alan Fitzpatrick,48,"house,minimal techno,tech house,techno",129408
4,75oAxYtjhDyLttgvGwQIvM,Aime Simone,44,,7578
5,3B5IcLPD64jPRgHsSnvHUD,Two Are,37,ukrainian electronic,2425
6,5GnduOkKcO3z8phs63Qnaq,Он Юн,23,russian underground rap,14548
7,2BdYvHPpYWy5gpgRJdyWwy,Леха Никонов,3,,29
8,0XHvwTa9b8b6NIoQ5Ubhx5,Макулатура,30,"russian hip hop,russian underground rap",38248
9,5VkYM90turPVbpvF9k2jyf,ночные грузчики,25,russian underground rap,40223
10,58cT4ua09AH5Le3Ch6Vy5p,Parris Mitchell,17,ghettotech,1156
11,1oZmFNkGAT93yD1xX4vTRE,Nina Kraviz,45,"electra,russian electronic,russian techno",376347
12,1cdLR0Fz14MLkWY78hNTYT,DJ Slugo,23,"footwork,ghettotech",6022
13,2bqGPuC8kDCTLWieGOyWxu,Nox Vahn,40,progressive house,14262
14,3pt2vTpH1eI776oDZT1G2C,Fatum,45,"edm,pop dance,progressive house,progressive trance,trance",15302
15,7jnJgk7LLLdpPhXrOOZXCa,Ed Solo,45,"breakbeat,drum and bass,jungle",29796
16,5RvJSmZEF6CPySmfJhfL34,Shiffer,20,swiss house,2021
17,02DWGcShQivFepRvGJ7xhB,Adriatique,51,"deep disco house,melodic techno,organic house,swiss house,tech house",164906
18,4sSSkVtrCTzENCgm2vokiY,Roots Manuva,48,"big beat,electronica,ninja,trip hop,turntablism,uk hip hop",137562
19,0mYPpM7VbKs7JpY6ZK6gnY,Грязь,36,"belarusian rock,russian alt pop,russian hip hop",77576
20,0fLBWyma2ey3ZasM1D9Y9b,Лёха Никонов,6,,284
21,3L2L2xgMF73EQY72vE9hgd,MSTR.FREI,3,,143
22,21VZgcYa29ZVvRQzmUNakx,Phibes,45,bass house,22085
