,index,track_id,name,artists_names,artists_ids,artists_count,popularity,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0,0oIbkBXuNKpRGrePp7cAeo,Gamma,NTO,7ry8L53T4oJtSIogGYuioq,1,51,6.354233333333333,0.664,0.72,1,-9.668,1,0.0485,0.000697,0.798,0.126,0.0323,125.009,audio_features,0oIbkBXuNKpRGrePp7cAeo,spotify:track:0oIbkBXuNKpRGrePp7cAeo,https://api.spotify.com/v1/tracks/0oIbkBXuNKpRGrePp7cAeo,https://api.spotify.com/v1/audio-analysis/0oIbkBXuNKpRGrePp7cAeo,381254,4
1,1,4ThfpcndTEm9P198k5BTEV,In Mexico,"Trashlagoon, Parra for Cuva","2Ceq5nkABzryK0OkaQYtzg, 238y1dKPtMeFEpX3Y6H1Vr",2,35,6.986483333333333,0.666,0.622,8,-9.989,0,0.0336,0.736,0.873,0.115,0.13,117.998,audio_features,4ThfpcndTEm9P198k5BTEV,spotify:track:4ThfpcndTEm9P198k5BTEV,https://api.spotify.com/v1/tracks/4ThfpcndTEm9P198k5BTEV,https://api.spotify.com/v1/audio-analysis/4ThfpcndTEm9P198k5BTEV,419190,4
2,2,18DjkS5pjqCBROtTVH4GK6,We Do What We Want,Alan Fitzpatrick,40JyDxGqtYSowWYT2jaive,1,53,8.426283333333334,0.77,0.966,6,-6.703,1,0.0422,0.000438,0.932,0.098,0.349,126.01,audio_features,18DjkS5pjqCBROtTVH4GK6,spotify:track:18DjkS5pjqCBROtTVH4GK6,https://api.spotify.com/v1/tracks/18DjkS5pjqCBROtTVH4GK6,https://api.spotify.com/v1/audio-analysis/18DjkS5pjqCBROtTVH4GK6,505577,4
3,3,6kvgeyNduS0YwPKPc6hOmH,In This Dark Time - Two Are Remix,"Aime Simone, Two Are","75oAxYtjhDyLttgvGwQIvM, 3B5IcLPD64jPRgHsSnvHUD",2,46,7.885233333333334,0.696,0.817,11,-7.488,0,0.0388,0.00779,0.656,0.107,0.271,122.004,audio_features,6kvgeyNduS0YwPKPc6hOmH,spotify:track:6kvgeyNduS0YwPKPc6hOmH,https://api.spotify.com/v1/tracks/6kvgeyNduS0YwPKPc6hOmH,https://api.spotify.com/v1/audio-analysis/6kvgeyNduS0YwPKPc6hOmH,473115,4
4,4,0GKDrQqgPf7rRNWtbWg3oy,Красное солнце,"Он Юн, Леха Никонов","5GnduOkKcO3z8phs63Qnaq, 2BdYvHPpYWy5gpgRJdyWwy",2,5,5.066666666666666,0.513,0.904,11,-3.483,0,0.443,0.0436,0.0,0.295,0.288,75.293,audio_features,0GKDrQqgPf7rRNWtbWg3oy,spotify:track:0GKDrQqgPf7rRNWtbWg3oy,https://api.spotify.com/v1/tracks/0GKDrQqgPf7rRNWtbWg3oy,https://api.spotify.com/v1/audio-analysis/0GKDrQqgPf7rRNWtbWg3oy,304000,4
5,5,1NaUJHp2z9pIjiluMMXaej,30 лет как мeртв,Макулатура,0XHvwTa9b8b6NIoQ5Ubhx5,1,28,5.285416666666666,0.636,0.582,4,-7.525,0,0.301,0.0173,1.45e-06,0.268,0.271,73.13,audio_features,1NaUJHp2z9pIjiluMMXaej,spotify:track:1NaUJHp2z9pIjiluMMXaej,https://api.spotify.com/v1/tracks/1NaUJHp2z9pIjiluMMXaej,https://api.spotify.com/v1/audio-analysis/1NaUJHp2z9pIjiluMMXaej,317125,4
6,6,6dYXU1aDwRLs9K3bG8BhA1,17/32,ночные грузчики,5VkYM90turPVbpvF9k2jyf,1,30,4.3342,0.336,0.478,0,-11.546,1,0.0904,0.0524,0.688,0.0899,0.0357,137.835,audio_features,6dYXU1aDwRLs9K3bG8BhA1,spotify:track:6dYXU1aDwRLs9K3bG8BhA1,https://api.spotify.com/v1/tracks/6dYXU1aDwRLs9K3bG8BhA1,https://api.spotify.com/v1/audio-analysis/6dYXU1aDwRLs9K3bG8BhA1,260052,3
7,7,02WWVLKv7ZvujMY47Yp2z7,Feel My Butterfly - DJ Slugo Remix,"Parris Mitchell, Nina Kraviz, DJ Slugo","58cT4ua09AH5Le3Ch6Vy5p, 1oZmFNkGAT93yD1xX4vTRE, 1cdLR0Fz14MLkWY78hNTYT",3,10,4.279066666666667,0.863,0.497,6,-12.118,0,0.0459,0.00219,0.779,0.0922,0.297,128.958,audio_features,02WWVLKv7ZvujMY47Yp2z7,spotify:track:02WWVLKv7ZvujMY47Yp2z7,https://api.spotify.com/v1/tracks/02WWVLKv7ZvujMY47Yp2z7,https://api.spotify.com/v1/audio-analysis/02WWVLKv7ZvujMY47Yp2z7,256744,4
8,8,0pnS0d2Gm829MkuRn7nlyq,Brainwasher - Fatum Remix (Mixed),"Nox Vahn, Fatum","2bqGPuC8kDCTLWieGOyWxu, 3pt2vTpH1eI776oDZT1G2C",2,4,3.683483333333333,0.574,0.899,9,-8.764,1,0.0702,0.0395,0.892,0.154,0.0396,125.969,audio_features,0pnS0d2Gm829MkuRn7nlyq,spotify:track:0pnS0d2Gm829MkuRn7nlyq,https://api.spotify.com/v1/tracks/0pnS0d2Gm829MkuRn7nlyq,https://api.spotify.com/v1/audio-analysis/0pnS0d2Gm829MkuRn7nlyq,221009,4
9,9,5n6V3YyeUczYIXFjcYvlnK,Handz Up (Stanton Warriors Remix),Ed Solo,7jnJgk7LLLdpPhXrOOZXCa,1,7,3.16555,0.707,0.811,7,-8.71,1,0.0501,0.000416,0.00535,0.0695,0.309,133.998,audio_features,5n6V3YyeUczYIXFjcYvlnK,spotify:track:5n6V3YyeUczYIXFjcYvlnK,https://api.spotify.com/v1/tracks/5n6V3YyeUczYIXFjcYvlnK,https://api.spotify.com/v1/audio-analysis/5n6V3YyeUczYIXFjcYvlnK,189933,4
