,track_id,name,n_genres,genre
0,0oIbkBXuNKpRGrePp7cAeo,Gamma - NTO,5,tropical house
1,0oIbkBXuNKpRGrePp7cAeo,Gamma - NTO,5,minimal melodic techno
2,0oIbkBXuNKpRGrePp7cAeo,Gamma - NTO,5,minimal techno
3,0oIbkBXuNKpRGrePp7cAeo,Gamma - NTO,5,electronica
4,0oIbkBXuNKpRGrePp7cAeo,Gamma - NTO,5,new french touch
5,4ThfpcndTEm9P198k5BTEV,"In Mexico - Trashlagoon, Parra for Cuva",4,tropical house
6,4ThfpcndTEm9P198k5BTEV,"In Mexico - Trashlagoon, Parra for Cuva",4,downtempo
7,4ThfpcndTEm9P198k5BTEV,"In Mexico - Trashlagoon, Parra for Cuva",4,new french touch
8,4ThfpcndTEm9P198k5BTEV,"In Mexico - Trashlagoon, Parra for Cuva",4,electronica
9,18DjkS5pjqCBROtTVH4GK6,We Do What We Want - Alan Fitzpatrick,4,minimal techno
10,18DjkS5pjqCBROtTVH4GK6,We Do What We Want - Alan Fitzpatrick,4,techno
11,18DjkS5pjqCBROtTVH4GK6,We Do What We Want - Alan Fitzpatrick,4,tech house
12,18DjkS5pjqCBROtTVH4GK6,We Do What We Want - Alan Fitzpatrick,4,house
13,6kvgeyNduS0YwPKPc6hOmH,"In This Dark Time - Two Are Remix - Aime Simone, Two Are",1,ukrainian electronic
14,0GKDrQqgPf7rRNWtbWg3oy,"Красное солнце - Он Юн, Леха Никонов",1,russian underground rap
15,1NaUJHp2z9pIjiluMMXaej,30 лет как мeртв - Макулатура,2,russian underground rap
16,1NaUJHp2z9pIjiluMMXaej,30 лет как мeртв - Макулатура,2,russian hip hop
17,6dYXU1aDwRLs9K3bG8BhA1,17/32 - ночные грузчики,1,russian underground rap
18,02WWVLKv7ZvujMY47Yp2z7,"Feel My Butterfly - DJ Slugo Remix - Parris Mitchell, Nina Kraviz, DJ Slugo",5,footwork
19,02WWVLKv7ZvujMY47Yp2z7,"Feel My Butterfly - DJ Slugo Remix - Parris Mitchell, Nina Kraviz, DJ Slugo",5,electra
20,02WWVLKv7ZvujMY47Yp2z7,"Feel My Butterfly - DJ Slugo Remix - Parris Mitchell, Nina Kraviz, DJ Slugo",5,russian techno
21,02WWVLKv7ZvujMY47Yp2z7,"Feel My Butterfly - DJ Slugo Remix - Parris Mitchell, Nina Kraviz, DJ Slugo",5,russian electronic
