,index,track_id,name,artists_names,artists_ids,artists_count,popularity,duration
0,0,0oIbkBXuNKpRGrePp7cAeo,Gamma,NTO,7ry8L53T4oJtSIogGYuioq,1,51,6.354233333333333
1,1,4ThfpcndTEm9P198k5BTEV,In Mexico,"Trashlagoon, Parra for Cuva","2Ceq5nkABzryK0OkaQYtzg, 238y1dKPtMeFEpX3Y6H1Vr",2,34,6.986483333333333
2,2,18DjkS5pjqCBROtTVH4GK6,We Do What We Want,Alan Fitzpatrick,40JyDxGqtYSowWYT2jaive,1,53,8.426283333333334
3,3,6kvgeyNduS0YwPKPc6hOmH,In This Dark Time - Two Are Remix,"Aime Simone, Two Are","75oAxYtjhDyLttgvGwQIvM, 3B5IcLPD64jPRgHsSnvHUD",2,45,7.885233333333334
4,4,0GKDrQqgPf7rRNWtbWg3oy,Красное солнце,"Он Юн, Леха Никонов","5GnduOkKcO3z8phs63Qnaq, 2BdYvHPpYWy5gpgRJdyWwy",2,5,5.066666666666666
5,5,1NaUJHp2z9pIjiluMMXaej,30 лет как мeртв,Макулатура,0XHvwTa9b8b6NIoQ5Ubhx5,1,27,5.285416666666666
6,6,6dYXU1aDwRLs9K3bG8BhA1,17/32,ночные грузчики,5VkYM90turPVbpvF9k2jyf,1,29,4.3342
7,7,02WWVLKv7ZvujMY47Yp2z7,Feel My Butterfly - DJ Slugo Remix,"Parris Mitchell, Nina Kraviz, DJ Slugo","58cT4ua09AH5Le3Ch6Vy5p, 1oZmFNkGAT93yD1xX4vTRE, 1cdLR0Fz14MLkWY78hNTYT",3,9,4.279066666666667
8,8,0pnS0d2Gm829MkuRn7nlyq,Brainwasher - Fatum Remix (Mixed),"Nox Vahn, Fatum","2bqGPuC8kDCTLWieGOyWxu, 3pt2vTpH1eI776oDZT1G2C",2,4,3.683483333333333
9,9,5n6V3YyeUczYIXFjcYvlnK,Handz Up (Stanton Warriors Remix),Ed Solo,7jnJgk7LLLdpPhXrOOZXCa,1,7,3.16555
10,10,3reuBRNg1pBgZi09hKKWsL,Memento - Adriatique Remix,"Shiffer, Adriatique","5RvJSmZEF6CPySmfJhfL34, 02DWGcShQivFepRvGJ7xhB",2,36,7.315566666666666
11,11,6W8D0nI4bR63CMBUqcDP0m,Stolen Youth - Radio Edit,Roots Manuva,4sSSkVtrCTzENCgm2vokiY,1,16,3.1175166666666665
12,12,1NSB47hnMR4GNJ5PvS8rkk,Меньше диаметра пули - cover,"Грязь, Лёха Никонов, MSTR.FREI","0mYPpM7VbKs7JpY6ZK6gnY, 0fLBWyma2ey3ZasM1D9Y9b, 3L2L2xgMF73EQY72vE9hgd",3,11,2.9846
13,13,4L8zHwkAAus359EISL2WZ4,Forever,Phibes,21VZgcYa29ZVvRQzmUNakx,1,28,3.9540166666666665
14,14,7a1WyXQXzop2L21X1MLxiu,Canis Lupus,Alexandre Desplat,71jzN72g8qWMCMkWC5p1Z0,1,34,1.2608833333333334
